Line Description,Tran. Code,Tran. Description,User / ICBA Defined
SAVINGS ACCOUNT,412,Lost Passbook,User
SAVINGS ACCOUNT,413,Replace Damaged Passbook,User
SAVINGS ACCOUNT,455,Update Unposted Transaction,User
SAVINGS ACCOUNT,699,Interest Accrual,System
SAVINGS ACCOUNT,701,ATM Deposit Cash,System
SAVINGS ACCOUNT,702,ATM Deposit Cheque,System
CURRENT ACCOUNT,723,ATM POS Payment In,System
SAVINGS ACCOUNT,704,ATM/TELEBANKING Enquiry,System
CURRENT ACCOUNT,729,ATM POS Payment Out,System
SAVINGS ACCOUNT,709,eChannel Transfer Out,System
SAVINGS ACCOUNT,713,ATM Bill Payment In,System
SAVINGS ACCOUNT,719,eChannel Payment out,System
SAVINGS ACCOUNT,726,POS Purchase Without Pin,System
SAVINGS ACCOUNT,771,Charges (Salary/IB Trans) Pay Cash,System
SAVINGS ACCOUNT,777,Change Of Product Line and Type,System
SAVINGS ACCOUNT,778,Special Adjustment,System
SAVINGS ACCOUNT,779,Change Of Accrual,System
SAVINGS ACCOUNT,801,Revalidate Voucher,User
SAVINGS ACCOUNT,802,Reprint Passbook,User
SAVINGS ACCOUNT,803,Revalidate Cheque,User
SAVINGS ACCOUNT,804,Reprint Banker's Cheque,User
SAVINGS ACCOUNT,805,Reprint Passbook Cover,User
SAVINGS ACCOUNT,806,Reprint Debit/Credit Advice,User
SAVINGS ACCOUNT,807,Reprint Inward Cheque Return,User
SAVINGS ACCOUNT,809,Reprint Specimen Card,User
SAVINGS ACCOUNT,911,Print Account Balance,User
SAVINGS ACCOUNT,B/F,Brought Forward,System
SAVINGS ACCOUNT,QCO,Cheque Deposit Consolidated,System
TRADE FINANCE,101,Cash TF Settlement,System
TRADE FINANCE,102,Cheque TF Settlement,System
TRADE FINANCE,103,Journal TF Settlement,System
TRADE FINANCE,201,Cash TF Settlement,System
TRADE FINANCE,202,Cheque TF Settlement,System
TRADE FINANCE,203,Journal TF Settlement,System
TRADE FINANCE,300,ILC Issuance,System
TRADE FINANCE,309,ILC Uplift,System
TRADE FINANCE,310,Reinstate Import Credit,System
TRADE FINANCE,314,ILC Amendment,System
TRADE FINANCE,315,Reactivate Import Credit,System
TRADE FINANCE,319,Nego Bill Receivable Upliftment,System
TRADE FINANCE,321,Nego Receive,System
TRADE FINANCE,337,Nego Payment,System
TRADE FINANCE,342,ILC Acceptance,System
TRADE FINANCE,357,ILC Acceptance Payment,System
TRADE FINANCE,360,Nego Bill Receivable Issuance,System
TRADE FINANCE,363,Nego Receive,System
TRADE FINANCE,365,Nego Bill Receivable Amendment,System
TRADE FINANCE,369,Nego Receive Uplift,System
TRADE FINANCE,370,Nego Bill Receivable Payment,System
TRADE FINANCE,400,ICO Issue,System
TRADE FINANCE,409,ICO Uplift,System
TRADE FINANCE,414,ICO Amendment,System
TRADE FINANCE,417,ICO Payment,System
TRADE FINANCE,422,ICO Acceptance,System
TRADE FINANCE,437,ICO Acceptance Payment,System
TRADE FINANCE,500,ISG Issue,System
TRADE FINANCE,519,ISG Uplift,System
TRADE FINANCE,528,ISG Claim,System
TRADE FINANCE,530,EBP New,System
TRADE FINANCE,537,EBP Payment,System
TRADE FINANCE,539,EBP Uplift,System
TRADE FINANCE,542,EBP Acceptance,System
TRADE FINANCE,547,EBP Acceptance Payment,System
TRADE FINANCE,549,EBP Acceptance Uplift,System
TRADE FINANCE,550,PCR New,System
TRADE FINANCE,557,PCR Payment,System
TRADE FINANCE,559,PCR Uplift,System
TRADE FINANCE,560,IBL Endorsement,System
TRADE FINANCE,569,IBL Endorsement Uplift,System
TRADE FINANCE,574,IBA Issuance,System
TRADE FINANCE,576,IBA Payment,System
TRADE FINANCE,599,TF Past Due Accrual,System
TRADE FINANCE,600,IBG Issuance,System
TRADE FINANCE,614,IBG Amendment,System
TRADE FINANCE,619,IBG Uplift,System
TRADE FINANCE,628,IBG Claim,System
TRADE FINANCE,655,TF Past Due,System
TRADE FINANCE,657,TF Past Due Payment,System
TRADE FINANCE,699,TF Revaluation,System
TRADE FINANCE,700,ITR Issue,System
TRADE FINANCE,709,ITR Uplift,System
TRADE FINANCE,714,ITR Amend,System
TRADE FINANCE,727,ITR Payment,System
TRADE FINANCE,799,ITR Interest Accrual,System
TRADE FINANCE,800,ELC Issuance,System
TRADE FINANCE,803,ELC Confirm,System
TRADE FINANCE,804,ERC Amendment,System
TRADE FINANCE,805,ELC Transfer,System
TRADE FINANCE,809,ELC Confirm Uplift,System
TRADE FINANCE,810,ERC New,System
TRADE FINANCE,814,ELC Amendment,System
TRADE FINANCE,818,ERC Payment,System
TRADE FINANCE,819,ERC Uplift,System
TRADE FINANCE,820,ECO New,System
TRADE FINANCE,822,ECO Acceptance,System
TRADE FINANCE,824,ECO Amendment,System
TRADE FINANCE,827,ECO Payment,System
TRADE FINANCE,829,ECO Uplift,System
TRADE FINANCE,837,ECO Acceptance Payment,System
TRADE FINANCE,839,ECO Acceptance Uplift,System
TRADE FINANCE,840,ECP New,System
TRADE FINANCE,847,ECP Payment,System
TRADE FINANCE,849,ECP Uplift,System
TRADE FINANCE,852,ECP Acceptance,System
TRADE FINANCE,857,ECP Acceptance Payment,System
TRADE FINANCE,859,ECP Acceptance Uplift,System
TRADE FINANCE,860,EBN New,System
TRADE FINANCE,862,EBN Acceptance,System
TRADE FINANCE,864,EBN Amendment,System
TRADE FINANCE,867,EBN Payment,System
TRADE FINANCE,869,EBN Uplift,System
TRADE FINANCE,877,EBN Acceptance Payment,System
TRADE FINANCE,879,EBN Acceptance Uplift,System
TRADE FINANCE,884,Export Banker''s Issuance,System
TRADE FINANCE,886,Export Banker''s Payment,System
TRADE FINANCE,899,Bill Finance Interest,System
TRADE FINANCE,901,Pay Trading Exchange,System
TRADE FINANCE,902,Receive Trading Exchange,System
TRADE FINANCE,903,Pay Trading Exchange,System
TRADE FINANCE,904,Receive Trading Exchange,System
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,, 
,,,
,,,
,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,
,,,
,,,
,,,
,,,
,,,
